country_code,country_name,year,median_ppp_income
IT,Italy,2010,44106.203086419744
IT,Italy,2011,43966.22345679012
IT,Italy,2012,41088.58765432098
IT,Italy,2013,40560.882716049375
IT,Italy,2014,40653.04012345678
IT,Italy,2015,41439.94814814814
IT,Italy,2016,40937.980864197525
IT,Italy,2017,41254.47098765432
IT,Italy,2018,42016.637654320984
IT,Italy,2019,42215.56481481481
IT,Italy,2020,38096.37777777777
IT,Italy,2021,41588.06419753086
IT,Italy,2022,43125.68148148148
IT,Italy,2023,43460.76913580247
JP,Japan,1995,43979.14500462962
JP,Japan,1996,43645.96484259259
JP,Japan,1997,43804.03223148148
JP,Japan,1998,42246.89833333333
JP,Japan,1999,41099.74534259259
JP,Japan,2000,40697.15197222222
JP,Japan,2001,39510.96409259259
JP,Japan,2002,38279.94038888889
JP,Japan,2003,38198.36115740741
JP,Japan,2004,38170.58566203704
JP,Japan,2005,38744.082453703704
JP,Japan,2006,39240.681361111114
JP,Japan,2007,39410.36307407408
JP,Japan,2008,39327.32675925926
JP,Japan,2009,38769.6461712963
JP,Japan,2010,40863.232074074076
JP,Japan,2011,41953.21384722222
JP,Japan,2012,42544.03125
JP,Japan,2013,43416.802995370366
JP,Japan,2014,43875.98599537037
JP,Japan,2015,44558.73414814814
JP,Japan,2016,44925.579162037044
JP,Japan,2017,45901.48251851852
JP,Japan,2018,46314.11731018518
JP,Japan,2019,45728.93147222222
JP,Japan,2020,43327.52239351851
JP,Japan,2021,44993.90391666667
JP,Japan,2022,46645.23638425926
JP,Japan,2023,47872.763087962965
KR,South Korea,1995,36337.75488846729
KR,South Korea,1996,30772.133444291132
KR,South Korea,1997,39334.95740427733
KR,South Korea,1998,34987.063266643665
KR,South Korea,1999,37944.507941244105
KR,South Korea,2000,32143.21595895136
KR,South Korea,2001,40514.20475106359
KR,South Korea,2002,42003.69149591813
KR,South Korea,2003,41766.370676670114
KR,South Korea,2004,42338.54809014602
KR,South Korea,2005,42489.42486087156
KR,South Korea,2006,36591.632337587675
KR,South Korea,2007,38086.89622628492
KR,South Korea,2008,37753.554593538
KR,South Korea,2009,37394.567799241115
KR,South Korea,2010,38536.88277911923
KR,South Korea,2011,40489.691944348626
KR,South Korea,2012,40969.50758767391
KR,South Korea,2013,42219.13568989307
KR,South Korea,2014,42153.12831091181
KR,South Korea,2015,42332.55984764861
KR,South Korea,2016,42260.46957974014
KR,South Korea,2017,43028.4829832126
KR,South Korea,2018,42432.177225480045
KR,South Korea,2019,46511.36086984017
KR,South Korea,2020,45831.177652063925
KR,South Korea,2021,57571.91045302977
KR,South Korea,2022,59394.9070909509
KR,South Korea,2023,59868.27919914913
MX,Mexico,1995,17305.14534883721
MX,Mexico,1996,18069.523500611995
MX,Mexico,1997,19155.615116279067
MX,Mexico,1998,19739.18378212974
MX,Mexico,1999,19800.869400244796
MX,Mexico,2000,20755.835862913096
MX,Mexico,2001,20202.937148102814
MX,Mexico,2002,19366.929926560588
MX,Mexico,2003,18178.539290085682
MX,Mexico,2004,17331.93011015912
MX,Mexico,2005,17239.162974296207
MX,Mexico,2006,17782.97429620563
MX,Mexico,2007,16803.741860465114
MX,Mexico,2008,15671.274908200736
MX,Mexico,2009,14813.471113831092
MX,Mexico,2010,15920.88188494492
MX,Mexico,2011,15558.68671970624
MX,Mexico,2012,15120.137698898408
MX,Mexico,2013,14890.285924112608
MX,Mexico,2014,15150.544247246022
MX,Mexico,2015,15358.336046511626
MX,Mexico,2016,15467.664626682985
MX,Mexico,2017,15242.093145654835
MX,Mexico,2018,14960.400428396571
MX,Mexico,2019,15353.002141982864
MX,Mexico,2020,14355.578457772337
MX,Mexico,2021,16113.923133414934
MX,Mexico,2022,17783.501101591188
MX,Mexico,2023,18257.313157894736
RU,Russia,1995,25707.709827089337
RU,Russia,1996,25070.412391930833
RU,Russia,1997,27310.42268011527
RU,Russia,1998,26432.436138328525
RU,Russia,1999,27903.80412103746
RU,Russia,2000,30250.49965417867
RU,Russia,2001,31801.761412103744
RU,Russia,2002,34691.29429394812
