country_code,country_name,year,percentile_group,wealth_share
CA,Canada,2021,bottom_50pct,0.0403
CA,Canada,2021,top_10pct,0.5869
CA,Canada,2021,top_1pct,0.2446
CA,Canada,2021,top_50pct,0.9597
CA,Canada,2022,bottom_10pct,-0.015
CA,Canada,2022,bottom_50pct,0.0401
CA,Canada,2022,top_10pct,0.5893
CA,Canada,2022,top_1pct,0.249
CA,Canada,2022,top_50pct,0.9599
CA,Canada,2023,bottom_10pct,-0.0151
CA,Canada,2023,bottom_50pct,0.0403
CA,Canada,2023,top_10pct,0.5871000000000001
CA,Canada,2023,top_1pct,0.2449
CA,Canada,2023,top_50pct,0.9597
CN,China,1995,bottom_10pct,0.0033
CN,China,1995,bottom_50pct,0.1598
CN,China,1995,top_10pct,0.4091
CN,China,1995,top_1pct,0.1594
CN,China,1995,top_50pct,0.8402000000000001
CN,China,1996,bottom_10pct,0.0035
CN,China,1996,bottom_50pct,0.1537
CN,China,1996,top_10pct,0.43
CN,China,1996,top_1pct,0.1701
CN,China,1996,top_50pct,0.8463
CN,China,1997,bottom_10pct,0.0036
CN,China,1997,bottom_50pct,0.149
CN,China,1997,top_10pct,0.4464
CN,China,1997,top_1pct,0.1792
CN,China,1997,top_50pct,0.8510000000000001
CN,China,1998,bottom_10pct,0.0037
CN,China,1998,bottom_50pct,0.1453
CN,China,1998,top_10pct,0.4591
CN,China,1998,top_1pct,0.1863
CN,China,1998,top_50pct,0.8547
CN,China,1999,bottom_10pct,0.0038
CN,China,1999,bottom_50pct,0.1424
CN,China,1999,top_10pct,0.4692
CN,China,1999,top_1pct,0.1919
CN,China,1999,top_50pct,0.8576
CN,China,2000,bottom_10pct,0.0039
CN,China,2000,bottom_50pct,0.14
CN,China,2000,top_10pct,0.4775
CN,China,2000,top_1pct,0.1965
CN,China,2000,top_50pct,0.86
CN,China,2001,bottom_10pct,0.0039
CN,China,2001,bottom_50pct,0.138
CN,China,2001,top_10pct,0.4844
CN,China,2001,top_1pct,0.2003
CN,China,2001,top_50pct,0.862
CN,China,2002,bottom_10pct,0.004
CN,China,2002,bottom_50pct,0.1363
